GEOID_TRACT_20,NAMELSAD_TRACT_20,GEOID_TRACT_10,NAMELSAD_TRACT_10,AREALAND_PART,AREALAND_TRACT_20,AREALAND_TRACT_10,weight_2010_to_2020,weight_2020_to_2010
48201221502,Census Tract 2215.02,48201221500,Census Tract 2215,521590,521590,2260496,0.2307413948089269,1.0
48201221601,Census Tract 2216.01,48201221600,Census Tract 2216,1176371,1176371,5760334,0.2042192345096656,1.0
48201221602,Census Tract 2216.02,48201221600,Census Tract 2216,4583963,4583963,5760334,0.7957807654903344,1.0
48201221701,Census Tract 2217.01,48201221700,Census Tract 2217,2892938,2892938,5320326,0.5437520182033958,1.0
48201221702,Census Tract 2217.02,48201221700,Census Tract 2217,2427388,2427388,5320326,0.4562479817966042,1.0
48201221800,Census Tract 2218,48201221800,Census Tract 2218,3141445,3141445,3141445,1.0,1.0
48201221900,Census Tract 2219,48201221900,Census Tract 2219,2664061,2664061,2664061,1.0,1.0
48201222000,Census Tract 2220,48201222000,Census Tract 2220,1136544,1136544,1136544,1.0,1.0
48201222100,Census Tract 2221,48201222100,Census Tract 2221,2277585,2277585,2284863,0.9968146886706117,1.0
48201222200,Census Tract 2222,48201222100,Census Tract 2221,7278,2990940,2284863,0.003185311329388239,0.002433348713113603
48201222200,Census Tract 2222,48201222200,Census Tract 2222,2983662,2990940,2983662,1.0,0.9975666512868864
48201222300,Census Tract 2223,48201222300,Census Tract 2223,4994812,4994812,4994812,1.0,1.0
48201222401,Census Tract 2224.01,48201222401,Census Tract 2224.01,5056040,5056040,5056040,1.0,1.0
48201222402,Census Tract 2224.02,48201222402,Census Tract 2224.02,4070729,4070729,4070729,1.0,1.0
48201222501,Census Tract 2225.01,48201222501,Census Tract 2225.01,909465,909465,909465,1.0,1.0
48201222502,Census Tract 2225.02,48201222502,Census Tract 2225.02,3371943,3371943,3408345,0.9893197431598033,1.0
48201222504,Census Tract 2225.04,48201222503,Census Tract 2225.03,294441,294441,1703241,0.17287101473015268,1.0
48201222505,Census Tract 2225.05,48201222503,Census Tract 2225.03,1408800,1408800,1703241,0.8271289852698473,1.0
48201222601,Census Tract 2226.01,48201222600,Census Tract 2226,1359945,1359945,2620900,0.518884734251593,1.0
48201222602,Census Tract 2226.02,48201222600,Census Tract 2226,1246004,1246004,2620900,0.4754107367698119,1.0
48201222701,Census Tract 2227.01,48201222700,Census Tract 2227,1072533,1072533,7081464,0.1514563937626457,1.0
48201222702,Census Tract 2227.02,48201222600,Census Tract 2226,14951,6020754,2620900,0.005704528978595139,0.0024832437930531626
48201222702,Census Tract 2227.02,48201222700,Census Tract 2227,6005803,6020754,7081464,0.8481018896657527,0.9975167562069468
48201222800,Census Tract 2228,48201222502,Census Tract 2225.02,36402,6765503,3408345,0.010680256840196635,0.005380531203666601
48201222800,Census Tract 2228,48201222800,Census Tract 2228,6729101,6765503,6729101,1.0,0.9946194687963335
48201222900,Census Tract 2229,48201222900,Census Tract 2229,5804923,5804923,5804923,1.0,1.0
48201223001,Census Tract 2230.01,48201223001,Census Tract 2230.01,3103891,3103891,3103891,1.0,1.0
48201223002,Census Tract 2230.02,48201223002,Census Tract 2230.02,740660,740660,740660,1.0,1.0
48201223100,Census Tract 2231,48201223100,Census Tract 2231,4751708,4751708,4751708,1.0,1.0
48201230100,Census Tract 2301,48201230100,Census Tract 2301,1363626,1363626,1363626,1.0,1.0
48201230200,Census Tract 2302,48201230200,Census Tract 2302,7778607,7778607,7778607,1.0,1.0
48201230300,Census Tract 2303,48201230300,Census Tract 2303,1744437,1744437,1744437,1.0,1.0
48201230400,Census Tract 2304,48201230400,Census Tract 2304,2872014,2872014,2872014,1.0,1.0
48201230500,Census Tract 2305,48201230500,Census Tract 2305,3460029,3460029,3460029,1.0,1.0
48201230600,Census Tract 2306,48201230600,Census Tract 2306,2166516,2166516,2166516,1.0,1.0
48201230700,Census Tract 2307,48201230700,Census Tract 2307,2698379,2698379,2698379,1.0,1.0
48201230800,Census Tract 2308,48201230800,Census Tract 2308,1851884,1851884,1851884,1.0,1.0
48201230900,Census Tract 2309,48201230900,Census Tract 2309,6357519,6357519,6357519,1.0,1.0
48201231000,Census Tract 2310,48201231000,Census Tract 2310,4120288,4120288,4120288,1.0,1.0
48201231100,Census Tract 2311,48201231100,Census Tract 2311,11059367,11059367,11059367,1.0,1.0
48201231200,Census Tract 2312,48201231200,Census Tract 2312,13888540,13888540,13888540,1.0,1.0
48201231300,Census Tract 2313,48201231300,Census Tract 2313,4809513,4809513,4809513,1.0,1.0
48201231400,Census Tract 2314,48201231400,Census Tract 2314,3347013,3347013,3347013,1.0,1.0
48201231500,Census Tract 2315,48201231500,Census Tract 2315,1159596,1159596,1159596,1.0,1.0
48201231600,Census Tract 2316,48201231600,Census Tract 2316,1664813,1664813,1664813,1.0,1.0
48201231700,Census Tract 2317,48201231700,Census Tract 2317,4230336,4230336,4230336,1.0,1.0
48201231800,Census Tract 2318,48201231800,Census Tract 2318,2808146,2808146,2808146,1.0,1.0
48201231900,Census Tract 2319,48201231900,Census Tract 2319,8824098,8824098,8824098,1.0,1.0
48201232000,Census Tract 2320,48201232000,Census Tract 2320,16170270,16170270,16170270,1.0,1.0
48201232100,Census Tract 2321,48201232100,Census Tract 2321,3211573,3211573,3211573,1.0,1.0
48201232201,Census Tract 2322.01,48201232200,Census Tract 2322,4429090,4429090,19839940,0.22324109851138663,1.0
48201232202,Census Tract 2322.02,48201232200,Census Tract 2322,5531672,5531672,19839940,0.27881495609361723,1.0
48201232203,Census Tract 2322.03,48201232200,Census Tract 2322,9879178,9879178,19839940,0.49794394539499615,1.0
48201232303,Census Tract 2323.03,48201232301,Census Tract 2323.01,13180485,13180485,25791479,0.5110402935791313,1.0
48201232304,Census Tract 2323.04,48201232301,Census Tract 2323.01,12302378,12302378,25791479,0.47699389399111236,1.0
48201232305,Census Tract 2323.05,48201232302,Census Tract 2323.02,7301053,7301053,11933099,0.6118320982671811,1.0
48201232306,Census Tract 2323.06,48201232302,Census Tract 2323.02,4264399,4264399,11933099,0.35735888891896395,1.0
48201232402,Census Tract 2324.02,48201232402,Census Tract 2324.02,1402827,1402827,1402827,1.0,1.0
48201232403,Census Tract 2324.03,48201232403,Census Tract 2324.03,2021827,2021827,2036731,0.9926823915382051,1.0
48201232404,Census Tract 2324.04,48201232401,Census Tract 2324.01,3779493,3779493,14628409,0.2583666480749889,1.0
48201232405,Census Tract 2324.05,48201232401,Census Tract 2324.01,10661341,10676245,14628409,0.7288106997828677,0.9986040035611772
48201232405,Census Tract 2324.05,48201232403,Census Tract 2324.03,14904,10676245,2036731,0.007317608461794906,0.0013959964388228258
48201232500,Census Tract 2325,48201232500,Census Tract 2325,11446550,11446550,11446550,1.0,1.0
48201232600,Census Tract 2326,48201232600,Census Tract 2326,6119444,6119444,6119444,1.0,1.0
48201232701,Census Tract 2327.01,48201232701,Census Tract 2327.01,4668823,4668823,4668823,1.0,1.0
48201232703,Census Tract 2327.03,48201232702,Census Tract 2327.02,656208,656208,4360280,0.1504967570889943,1.0
48201232704,Census Tract 2327.04,48201232702,Census Tract 2327.02,3704072,3704072,4360280,0.8495032429110058,1.0
48201232801,Census Tract 2328.01,48201232800,Census Tract 2328,923394,923394,1980009,0.4663584862493049,1.0
48201232802,Census Tract 2328.02,48201232800,Census Tract 2328,1056615,1056615,1980009,0.533641513750695,1.0
48201232901,Census Tract 2329.01,48201232900,Census Tract 2329,2404257,2404257,3267452,0.7358201436470987,1.0
48201232902,Census Tract 2329.02,48201232900,Census Tract 2329,863195,863195,3267452,0.26417985635290125,1.0
48201233001,Census Tract 2330.01,48201233001,Census Tract 2330.01,952904,952904,952904,1.0,1.0
48201233002,Census Tract 2330.02,48201233002,Census Tract 2330.02,1726150,1726150,1726150,1.0,1.0
48201233003,Census Tract 2330.03,48201233003,Census Tract 2330.03,1019519,1019519,1019519,1.0,1.0
48201233101,Census Tract 2331.01,48201233101,Census Tract 2331.01,1720704,1720704,1720704,1.0,1.0
48201233103,Census Tract 2331.03,48201233103,Census Tract 2331.03,1631783,1631783,1631783,1.0,1.0
48201233104,Census Tract 2331.04,48201233102,Census Tract 2331.02,803572,803572,2440829,0.32922093272408676,1.0
48201233105,Census Tract 2331.05,48201233102,Census Tract 2331.02,1637257,1637257,2440829,0.6707790672759132,1.0
48201233200,Census Tract 2332,48201233200,Census Tract 2332,3146836,3146836,3146836,1.0,1.0
48201233300,Census Tract 2333,48201233300,Census Tract 2333,10390918,10775550,10448509,0.9944881130886714,0.9643051166761789
48201233300,Census Tract 2333,48201233400,Census Tract 2334,397,10775550,2617268,0.00015168488668336602,3.6842666963635265e-05
48201233300,Census Tract 2333,48201233500,Census Tract 2335,70963,10775550,2789483,0.025439481079468848,0.006585557117734129
48201233300,Census Tract 2333,48201233703,Census Tract 2337.03,313272,10775550,7080851,0.04424213982189429,0.029072483539123294
48201233300,Census Tract 2333,48201324100,Census Tract 3241,0,10775550,20041647,0.0,0.0
48201233400,Census Tract 2334,48201233300,Census Tract 2333,2087,2607542,10448509,0.00019974141765107347,0.0008003706172326275
48201233400,Census Tract 2334,48201233400,Census Tract 2334,2605455,2607542,2617268,0.9954865149461194,0.9991996293827674
48201233501,Census Tract 2335.01,48201233300,Census Tract 2333,42383,1423876,10448509,0.004056368233974819,0.029765934674086787
48201233501,Census Tract 2335.01,48201233500,Census Tract 2335,1381123,1423876,2789483,0.49511791253074494,0.9699742112374954
48201233501,Census Tract 2335.01,48201233703,Census Tract 2337.03,370,1423876,7080851,5.2253606240266886e-05,0.00025985408841781166
48201233502,Census Tract 2335.02,48201233500,Census Tract 2335,1335836,1380711,2789483,0.4788830044850605,0.9674986293293818
48201233502,Census Tract 2335.02,48201233701,Census Tract 2337.01,12905,1380711,6919425,0.0018650393638199707,0.009346633727115958
48201233502,Census Tract 2335.02,48201233702,Census Tract 2337.02,31970,1380711,2494568,0.012815846270777144,0.023154736943502296
48201233600,Census Tract 2336,48201233400,Census Tract 2334,11416,3574558,2617268,0.0043618001671972455,0.0031936815684624506
48201233600,Census Tract 2336,48201233600,Census Tract 2336,3489501,3574558,3490129,0.9998200639575213,0.9762048902269875
