Precinct,WESLEY HUNT,VIRGIL JOHN BIERSCHWALE,JOHN O. ADEFOPE,JOHN CORNYN,ANNA BENDER,SARA CANADY,"GULREZ ""GUS"" KHAN",KEN PAXTON,Cast Votes,Undervotes,Overvotes,Mail Ballots,Early Voting,Election Day,EV Provisional,ED Provisional,Total Ballots Cast,Registered Voters,Turnout %
37,24,2,0,80,4,1,1,38,150,0,0,3,102,45,0,0,150,0,0
38,26,0,0,134,2,3,5,56,226,3,0,10,154,65,0,0,229,0,0
39,16,1,1,75,1,0,1,50,145,0,0,5,75,64,1,0,145,0,0
40,16,0,0,34,0,0,1,12,63,0,0,1,24,38,0,0,63,0,0
41,17,1,1,40,3,0,1,50,113,4,0,0,78,39,0,0,117,0,0
42,1,0,0,1,1,0,0,3,6,0,0,0,4,2,0,0,6,0,0
43,24,0,1,66,2,1,0,77,171,1,0,2,126,44,0,0,172,0,0
44,2,0,0,1,0,0,0,3,6,0,0,0,2,4,0,0,6,0,0
45,3,0,0,17,3,0,0,11,34,0,0,2,28,4,0,0,34,0,0
46,26,0,2,34,4,1,1,51,119,1,0,0,60,59,1,0,120,0,0
47,3,1,0,5,1,0,0,6,16,0,0,1,9,6,0,0,16,0,0
48,6,0,0,8,0,0,0,6,20,0,0,0,11,9,0,0,20,0,0
49,88,2,3,92,9,6,3,158,361,5,0,14,217,135,0,0,366,0,0
50,72,0,3,142,4,7,4,163,395,8,0,5,244,154,0,0,403,0,0
51,35,0,2,106,2,3,0,100,248,4,0,17,163,71,1,0,252,0,0
52,39,1,0,64,0,4,1,50,159,1,0,2,88,70,0,0,160,0,0
53,27,0,0,37,0,2,0,46,112,1,0,0,66,47,0,0,113,0,0
54,35,0,1,61,4,1,0,47,149,0,0,3,94,52,0,0,149,0,0
55,25,1,1,41,1,0,1,45,115,1,0,0,49,67,0,0,116,0,0
56,38,2,2,50,1,3,2,74,172,0,0,11,80,80,0,1,172,0,0
57,54,1,0,133,1,4,1,85,279,4,0,3,165,115,0,0,283,0,0
58,42,0,1,57,5,1,1,46,153,3,0,2,76,78,0,0,156,0,0
59,50,0,3,126,1,3,1,72,256,1,0,4,144,109,0,0,257,0,0
60,18,1,0,53,0,2,1,43,118,0,0,1,75,41,1,0,118,0,0
61,7,0,1,9,1,0,0,11,29,0,0,5,15,9,0,0,29,0,0
62,10,0,1,21,3,1,2,26,64,2,0,3,26,37,0,0,66,0,0
63,58,1,0,81,3,3,0,111,257,1,0,6,150,102,0,0,258,0,0
64,10,0,0,20,0,0,2,16,48,1,0,0,18,31,0,0,49,0,0
65,7,1,1,20,1,5,2,18,55,2,0,4,22,30,1,0,57,0,0
66,1,0,0,3,0,0,0,8,12,1,0,0,7,6,0,0,13,0,0
67,14,0,3,24,2,2,3,21,69,1,0,3,37,30,0,0,70,0,0
68,5,0,0,2,0,0,2,8,17,0,0,0,12,5,0,0,17,0,0
69,3,1,0,9,2,0,0,6,21,1,0,0,11,11,0,0,22,0,0
70,112,0,2,279,5,6,1,129,534,0,0,21,309,203,1,0,534,0,0
71,59,0,1,84,2,3,4,64,217,5,0,0,111,111,0,0,222,0,0
72,21,0,0,41,2,3,2,17,86,2,0,1,39,48,0,0,88,0,0
73,50,0,0,78,2,1,1,85,217,0,0,2,110,105,0,0,217,0,0
74,219,3,4,316,8,1,2,315,868,8,0,18,588,270,0,0,876,0,0
75,38,1,1,56,2,1,0,31,130,0,0,0,69,61,0,0,130,0,0
76,20,2,2,85,7,2,0,60,178,4,0,6,123,52,0,1,182,0,0
