"id","state","site","treat","treat_string","vf_age","vf_female","vf_latino","vf_voted16","vf_voted14","vf_voted12","t1_factor_prej","t1_factor_policy","t1_factor_overall"
202395,"TN","TN",2,"Deep Canvass",34,1,0,1,1,1,0.1725545,0.2805011,0.2424176
8666,"CA","ORANGE",2,"Deep Canvass",70,1,0,1,1,1,-1.821424,-2.044356,-1.986453
216976,"TN","TN",2,"Deep Canvass",25,1,0,0,0,0,0.9472271,0.7737268,0.8953985
4629,"CA","ORANGE",2,"Deep Canvass",29,0,0,1,0,0,NA,NA,NA
1745,"CA","ORANGE",2,"Deep Canvass",66,0,0,1,0,1,-1.45922,-0.6011075,-1.099248
126048,"CA","ORANGE",2,"Deep Canvass",48,1,0,1,0,1,NA,NA,NA
28494,"CA","ORANGE",2,"Deep Canvass",55,0,0,1,1,1,NA,NA,NA
13146,"CA","FRESNO",2,"Deep Canvass",74,0,0,1,1,1,NA,NA,NA
66276,"CA","FRESNO",2,"Deep Canvass",22,1,1,0,0,0,0.6043113,1.026669,0.8296889
123725,"CA","ORANGE",2,"Deep Canvass",52,0,0,1,0,0,NA,NA,NA
154961,"TN","TN",2,"Deep Canvass",62,0,0,1,1,1,NA,NA,NA
131510,"TN","TN",2,"Deep Canvass",65,0,0,1,1,1,NA,NA,NA
195821,"TN","TN",2,"Deep Canvass",26,1,0,0,0,1,NA,NA,NA
116624,"CA","ORANGE",2,"Deep Canvass",39,0,0,1,1,0,-0.8665054,-1.101222,-0.9958415
113818,"CA","ORANGE",2,"Deep Canvass",36,1,0,1,1,1,NA,NA,NA
139201,"TN","TN",2,"Deep Canvass",57,0,0,1,1,1,NA,NA,NA
56956,"CA","ORANGE",2,"Deep Canvass",63,0,0,1,0,1,-1.682787,-0.8467653,-1.346207
77846,"CA","ORANGE",2,"Deep Canvass",58,0,0,1,1,1,NA,NA,NA
8941,"CA","FRESNO",2,"Deep Canvass",25,0,0,1,0,0,NA,NA,NA
216905,"TN","TN",2,"Deep Canvass",20,0,0,0,0,0,NA,NA,NA
46617,"CA","FRESNO",2,"Deep Canvass",28,1,1,1,0,1,NA,NA,NA
189765,"TN","TN",2,"Deep Canvass",36,1,0,1,1,1,NA,NA,NA
177240,"TN","TN",2,"Deep Canvass",36,1,0,1,0,1,NA,NA,NA
177410,"TN","TN",2,"Deep Canvass",49,0,0,1,0,1,NA,NA,NA
54320,"CA","ORANGE",2,"Deep Canvass",55,1,0,1,1,1,-0.8749192,-0.6660569,-0.7952622
70840,"CA","FRESNO",2,"Deep Canvass",61,1,0,1,1,1,0.7963478,0.9063712,0.8733696
85766,"CA","ORANGE",2,"Deep Canvass",57,1,0,1,1,1,NA,NA,NA
160966,"TN","TN",2,"Deep Canvass",71,1,0,1,1,1,NA,NA,NA
74431,"CA","ORANGE",2,"Deep Canvass",44,0,0,1,1,1,NA,NA,NA
138927,"TN","TN",2,"Deep Canvass",79,1,0,1,1,1,NA,NA,NA
143299,"TN","TN",2,"Deep Canvass",48,1,0,1,1,1,NA,NA,NA
37981,"CA","FRESNO",2,"Deep Canvass",57,0,0,1,1,1,NA,NA,NA
76044,"CA","ORANGE",2,"Deep Canvass",49,0,0,1,1,1,NA,NA,NA
183510,"TN","TN",2,"Deep Canvass",74,0,0,1,0,0,NA,NA,NA
88235,"CA","ORANGE",2,"Deep Canvass",47,1,0,1,0,0,NA,NA,NA
182019,"TN","TN",2,"Deep Canvass",33,0,0,1,0,0,NA,NA,NA
68143,"CA","ORANGE",2,"Deep Canvass",66,1,0,1,1,1,-0.4332385,-1.125625,-0.7601171
199860,"TN","TN",2,"Deep Canvass",41,1,0,1,0,1,NA,NA,NA
127304,"CA","FRESNO",2,"Deep Canvass",47,0,0,1,1,1,NA,NA,NA
68142,"CA","ORANGE",2,"Deep Canvass",74,0,0,1,1,1,-0.6660719,-0.4730306,-0.5817358
37887,"CA","FRESNO",2,"Deep Canvass",21,0,1,0,0,0,NA,NA,NA
137046,"TN","TN",2,"Deep Canvass",46,0,0,1,1,1,NA,NA,NA
79765,"CA","FRESNO",2,"Deep Canvass",37,0,0,1,1,1,NA,NA,NA
11090,"CA","FRESNO",2,"Deep Canvass",69,1,1,1,1,1,NA,NA,NA
37847,"CA","FRESNO",2,"Deep Canvass",41,1,0,1,0,1,-1.066138,-1.354247,-1.246793
76197,"CA","ORANGE",2,"Deep Canvass",62,0,0,1,1,1,0.7822189,1.100752,0.9639814
197826,"TN","TN",2,"Deep Canvass",26,0,0,0,0,0,NA,NA,NA
122695,"CA","ORANGE",2,"Deep Canvass",78,0,0,1,0,0,0.5992501,0.6407691,0.6243961
83178,"CA","FRESNO",2,"Deep Canvass",31,1,1,1,0,0,NA,NA,NA
121656,"CA","ORANGE",2,"Deep Canvass",59,0,0,1,0,1,NA,NA,NA
144428,"TN","TN",2,"Deep Canvass",68,1,0,1,1,1,NA,NA,NA
85468,"CA","FRESNO",2,"Deep Canvass",24,1,0,1,0,0,NA,NA,NA
124573,"CA","ORANGE",2,"Deep Canvass",38,0,0,1,0,0,-0.9507988,-1.267505,-1.129038
12649,"CA","FRESNO",2,"Deep Canvass",76,1,1,1,1,1,-0.8013214,0.0197798,-0.4240474
163204,"TN","TN",2,"Deep Canvass",57,0,0,1,1,1,NA,NA,NA
138529,"TN","TN",2,"Deep Canvass",61,1,0,1,1,1,-0.2272002,0.606526,0.1786948
16587,"CA","ORANGE",2,"Deep Canvass",21,1,0,0,0,0,NA,NA,NA
76352,"CA","ORANGE",2,"Deep Canvass",47,0,1,1,0,1,NA,NA,NA
87508,"CA","ORANGE",2,"Deep Canvass",73,0,0,1,1,1,NA,NA,NA
138506,"TN","TN",2,"Deep Canvass",50,0,0,1,0,0,NA,NA,NA
67470,"CA","ORANGE",2,"Deep Canvass",22,0,1,1,0,0,NA,NA,NA
173824,"TN","TN",2,"Deep Canvass",51,1,0,1,1,1,NA,NA,NA
76104,"CA","ORANGE",2,"Deep Canvass",49,1,0,0,0,0,NA,NA,NA
134470,"TN","TN",2,"Deep Canvass",57,1,0,1,0,0,NA,NA,NA
12849,"CA","ORANGE",2,"Deep Canvass",60,0,0,1,1,1,0.5048426,-0.9010546,-0.1553652
77713,"CA","FRESNO",2,"Deep Canvass",33,0,0,1,0,0,NA,NA,NA
144822,"TN","TN",2,"Deep Canvass",38,1,0,1,0,1,NA,NA,NA
326,"CA","FRESNO",2,"Deep Canvass",55,1,0,1,1,1,NA,NA,NA
175297,"TN","TN",2,"Deep Canvass",54,0,0,1,0,1,NA,NA,NA
106863,"CA","FRESNO",2,"Deep Canvass",43,1,0,0,0,0,NA,NA,NA
22187,"CA","FRESNO",2,"Deep Canvass",46,0,1,1,0,1,NA,NA,NA
31750,"CA","ORANGE",2,"Deep Canvass",40,0,0,1,0,0,0.7610048,1.228022,1.00903
135870,"TN","TN",2,"Deep Canvass",50,0,0,1,0,1,NA,NA,NA
9712,"CA","ORANGE",2,"Deep Canvass",75,1,0,1,1,1,NA,NA,NA
138127,"TN","TN",2,"Deep Canvass",49,0,0,1,1,1,0.5698018,0.2204449,0.4303537
183705,"TN","TN",2,"Deep Canvass",46,1,0,0,0,0,NA,NA,NA
36435,"CA","ORANGE",2,"Deep Canvass",79,0,1,1,1,1,NA,NA,NA
135856,"TN","TN",2,"Deep Canvass",57,0,0,1,1,1,NA,NA,NA
100236,"CA","FRESNO",2,"Deep Canvass",76,0,0,1,1,1,NA,NA,NA
185380,"TN","TN",2,"Deep Canvass",53,0,0,1,1,1,NA,NA,NA
120227,"CA","ORANGE",2,"Deep Canvass",47,1,0,1,1,1,1.025428,0.5538458,0.820276
161413,"TN","TN",2,"Deep Canvass",77,1,0,1,1,1,NA,NA,NA
161387,"TN","TN",2,"Deep Canvass",71,0,0,1,0,1,NA,NA,NA
137967,"TN","TN",2,"Deep Canvass",56,1,0,1,0,1,NA,NA,NA
112596,"CA","ORANGE",2,"Deep Canvass",76,1,0,1,1,1,NA,NA,NA
192616,"TN","TN",2,"Deep Canvass",32,0,0,1,1,1,NA,NA,NA
12286,"CA","ORANGE",2,"Deep Canvass",70,1,0,1,1,1,NA,NA,NA
129397,"TN","TN",2,"Deep Canvass",69,1,0,1,1,1,NA,NA,NA
137189,"TN","TN",2,"Deep Canvass",47,0,0,1,1,1,NA,NA,NA
190262,"TN","TN",2,"Deep Canvass",28,1,0,0,0,1,NA,NA,NA
25101,"CA","FRESNO",2,"Deep Canvass",38,0,0,1,1,1,NA,NA,NA
191447,"TN","TN",2,"Deep Canvass",36,0,0,1,0,1,NA,NA,NA
179139,"TN","TN",2,"Deep Canvass",75,0,0,1,1,1,NA,NA,NA
158711,"TN","TN",2,"Deep Canvass",58,1,0,1,1,1,NA,NA,NA
158997,"TN","TN",2,"Deep Canvass",62,1,0,1,1,1,-0.219478,-0.7194958,-0.4719831
138823,"TN","TN",2,"Deep Canvass",42,1,0,1,0,1,NA,NA,NA
27351,"CA","ORANGE",2,"Deep Canvass",23,1,0,1,0,0,NA,NA,NA
46368,"CA","ORANGE",2,"Deep Canvass",64,1,0,1,1,1,NA,NA,NA
179264,"TN","TN",2,"Deep Canvass",34,1,0,1,0,0,-1.526787,-2.044356,-1.836892
37037,"CA","ORANGE",2,"Deep Canvass",44,0,0,1,0,1,NA,NA,NA
30724,"CA","FRESNO",2,"Deep Canvass",32,1,0,1,0,0,NA,NA,NA
22958,"CA","ORANGE",2,"Deep Canvass",30,1,0,1,0,0,0.6599514,0.7216426,0.6885394
60522,"CA","FRESNO",2,"Deep Canvass",42,1,1,1,1,1,NA,NA,NA
99819,"CA","ORANGE",2,"Deep Canvass",54,0,0,1,1,1,NA,NA,NA
28765,"CA","ORANGE",2,"Deep Canvass",58,0,0,1,1,1,NA,NA,NA
172518,"TN","TN",2,"Deep Canvass",62,1,0,1,1,1,NA,NA,NA
29066,"CA","ORANGE",2,"Deep Canvass",37,0,0,1,0,1,NA,NA,NA
193898,"TN","TN",2,"Deep Canvass",36,0,0,1,1,1,NA,NA,NA
105415,"CA","FRESNO",2,"Deep Canvass",46,1,0,1,1,1,1.078164,0.6937749,0.9195772
111762,"CA","FRESNO",2,"Deep Canvass",45,0,0,1,1,1,-0.9832748,-0.0383666,-0.5730644
136989,"TN","TN",2,"Deep Canvass",50,1,0,1,1,1,NA,NA,NA
135226,"TN","TN",2,"Deep Canvass",56,1,0,1,1,1,NA,NA,NA
27454,"CA","ORANGE",2,"Deep Canvass",76,1,0,1,0,1,NA,NA,NA
156501,"TN","TN",2,"Deep Canvass",73,1,0,1,1,1,0.4800707,-0.2205032,0.1661037
52185,"CA","ORANGE",2,"Deep Canvass",27,1,0,0,0,0,1.241258,0.7667553,1.064119
164846,"TN","TN",2,"Deep Canvass",51,1,0,1,1,1,NA,NA,NA
155093,"TN","TN",2,"Deep Canvass",61,0,0,1,1,1,-1.393483,-1.912308,-1.685324
49125,"CA","ORANGE",2,"Deep Canvass",68,0,0,1,1,1,NA,NA,NA
202782,"TN","TN",2,"Deep Canvass",24,1,0,0,0,1,NA,NA,NA
203165,"TN","TN",2,"Deep Canvass",32,0,0,0,0,0,NA,NA,NA
96493,"CA","FRESNO",2,"Deep Canvass",57,0,0,1,1,1,-2.055714,-1.912308,-2.061253
142997,"TN","TN",2,"Deep Canvass",43,1,0,1,1,1,-0.5295519,-0.4051422,-0.4515318
115292,"CA","ORANGE",2,"Deep Canvass",57,0,0,1,1,1,-0.1666791,-2.044356,-1.060802
105125,"CA","ORANGE",2,"Deep Canvass",40,1,0,1,1,1,NA,NA,NA
140545,"TN","TN",2,"Deep Canvass",53,1,0,1,0,1,NA,NA,NA
10817,"CA","ORANGE",2,"Deep Canvass",69,1,0,1,1,1,1.210873,1.187495,1.246001
204454,"TN","TN",2,"Deep Canvass",52,0,0,1,1,0,NA,NA,NA
178615,"TN","TN",2,"Deep Canvass",72,1,0,1,1,1,NA,NA,NA
176114,"TN","TN",2,"Deep Canvass",55,0,0,1,1,1,NA,NA,NA
56150,"CA","FRESNO",2,"Deep Canvass",38,0,0,1,1,1,NA,NA,NA
157395,"TN","TN",2,"Deep Canvass",61,1,0,1,1,1,NA,NA,NA
67805,"CA","ORANGE",2,"Deep Canvass",56,0,0,1,0,1,NA,NA,NA
11168,"CA","ORANGE",2,"Deep Canvass",69,0,0,1,1,1,NA,NA,NA
75806,"CA","ORANGE",2,"Deep Canvass",40,1,0,0,0,1,NA,NA,NA
46256,"CA","FRESNO",2,"Deep Canvass",34,1,0,0,1,0,NA,NA,NA
162318,"TN","TN",2,"Deep Canvass",54,1,0,1,1,1,NA,NA,NA
128097,"TN","TN",2,"Deep Canvass",68,1,0,1,1,1,NA,NA,NA
128127,"TN","TN",2,"Deep Canvass",43,1,0,1,1,1,NA,NA,NA
145230,"TN","TN",2,"Deep Canvass",45,1,0,1,1,1,NA,NA,NA
204813,"TN","TN",2,"Deep Canvass",27,1,0,1,1,0,NA,NA,NA
719,"CA","FRESNO",2,"Deep Canvass",69,0,0,1,1,1,NA,NA,NA
101713,"CA","ORANGE",2,"Deep Canvass",31,1,0,1,0,0,1.09534,0.8819615,1.020115
176456,"TN","TN",2,"Deep Canvass",67,0,0,0,0,0,NA,NA,NA
136152,"TN","TN",2,"Deep Canvass",68,1,0,1,1,1,NA,NA,NA
205312,"TN","TN",2,"Deep Canvass",72,1,0,0,0,1,NA,NA,NA
119450,"CA","ORANGE",2,"Deep Canvass",46,1,1,1,1,1,NA,NA,NA
119482,"CA","ORANGE",2,"Deep Canvass",66,0,0,1,1,1,NA,NA,NA
36224,"CA","ORANGE",2,"Deep Canvass",57,0,0,1,1,1,NA,NA,NA
188655,"TN","TN",2,"Deep Canvass",40,0,0,1,0,0,NA,NA,NA
